"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\START.dart", "Dart", 484, 0, 10, 494
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Score.dart", "Dart", 360, 1, 20, 381
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\Cincinnati.dart", "Dart", 63, 0, 5, 68
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\ECG.dart", "Dart", 138, 1, 5, 144
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\MGAP.dart", "Dart", 106, 1, 5, 112
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\NEWS.dart", "Dart", 342, 1, 5, 348
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\PROACS.dart", "Dart", 134, 1, 5, 140
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\main.dart", "Dart", 235, 1, 7, 243
"Total", "-", 1862, 6, 62, 1930
