"filename", "language", "Markdown", "Dart", "YAML", "Swift", "HTML", "JSON", "XML", "C", "SVG", "Groovy", "kotlin", "Properties", "comment", "blank", "total"
"c:\Users\david\Documents\EPHScores\ephscores\assets\Ped\head.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 1, 2, 88
"c:\Users\david\Documents\EPHScores\ephscores\assets\Ped\left_arm.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 1, 2, 96
"c:\Users\david\Documents\EPHScores\ephscores\assets\Ped\left_leg.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 1, 2, 108
"c:\Users\david\Documents\EPHScores\ephscores\assets\Ped\right_arm.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 1, 2, 94
"c:\Users\david\Documents\EPHScores\ephscores\assets\Ped\right_leg.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 1, 2, 108
"c:\Users\david\Documents\EPHScores\ephscores\assets\Ped\torso.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 1, 2, 134
"c:\Users\david\Documents\EPHScores\ephscores\ios\Flutter\AppFrameworkInfo.plist", "XML", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\david\Documents\EPHScores\ephscores\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\david\Documents\EPHScores\ephscores\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\david\Documents\EPHScores\ephscores\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\david\Documents\EPHScores\ephscores\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\david\Documents\EPHScores\ephscores\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\david\Documents\EPHScores\ephscores\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\david\Documents\EPHScores\ephscores\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Users\david\Documents\EPHScores\ephscores\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\david\Documents\EPHScores\ephscores\ios\Runner\Info.plist", "XML", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 1, 46
"c:\Users\david\Documents\EPHScores\ephscores\ios\Runner\Runner-Bridging-Header.h", "C", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\david\Documents\EPHScores\ephscores\lib\Burn.dart", "Dart", 0, 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 208
"c:\Users\david\Documents\EPHScores\ephscores\lib\BurnPed\Anterior.dart", "Dart", 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 233
"c:\Users\david\Documents\EPHScores\ephscores\lib\BurnPed\Posterior.dart", "Dart", 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 233
"c:\Users\david\Documents\EPHScores\ephscores\lib\Burn\Anterior.dart", "Dart", 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 273
"c:\Users\david\Documents\EPHScores\ephscores\lib\Burn\Posterior.dart", "Dart", 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 253
"c:\Users\david\Documents\EPHScores\ephscores\lib\Contacts.dart", "Dart", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 125
"c:\Users\david\Documents\EPHScores\ephscores\lib\PediatricScore.dart", "Dart", 0, 245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 265
"c:\Users\david\Documents\EPHScores\ephscores\lib\Score.dart", "Dart", 0, 495, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 25, 530
"c:\Users\david\Documents\EPHScores\ephscores\lib\Scores\APGAR.dart", "Dart", 0, 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 204
"c:\Users\david\Documents\EPHScores\ephscores\lib\Scores\Cincinnati.dart", "Dart", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 69
"c:\Users\david\Documents\EPHScores\ephscores\lib\Scores\ECG.dart", "Dart", 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 156
"c:\Users\david\Documents\EPHScores\ephscores\lib\Scores\MGAP.dart", "Dart", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 124
"c:\Users\david\Documents\EPHScores\ephscores\lib\Scores\NEWS.dart", "Dart", 0, 391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 397
"c:\Users\david\Documents\EPHScores\ephscores\lib\Scores\PROACS.dart", "Dart", 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 156
"c:\Users\david\Documents\EPHScores\ephscores\lib\Scores\PTS.dart", "Dart", 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 240
"c:\Users\david\Documents\EPHScores\ephscores\lib\Scores\RACE.dart", "Dart", 0, 278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 288
"c:\Users\david\Documents\EPHScores\ephscores\lib\Scores\RTS.dart", "Dart", 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 112
"c:\Users\david\Documents\EPHScores\ephscores\lib\Scores\TAP.dart", "Dart", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 148
"c:\Users\david\Documents\EPHScores\ephscores\lib\Start.dart", "Dart", 0, 526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 539
"c:\Users\david\Documents\EPHScores\ephscores\lib\components\Contact.dart", "Dart", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 68
"c:\Users\david\Documents\EPHScores\ephscores\lib\components\MenuButton.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 59
"c:\Users\david\Documents\EPHScores\ephscores\lib\main.dart", "Dart", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 112
"c:\Users\david\Documents\EPHScores\ephscores\pubspec.yaml", "YAML", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 15, 84
"c:\Users\david\Documents\EPHScores\ephscores\web\index.html", "HTML", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 14, 6, 99
"c:\Users\david\Documents\EPHScores\ephscores\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 13, 4562, 24, 12, 79, 181, 227, 1, 1860, 97, 4, 8, 163, 316, 7547
