"filename", "language", "YAML", "Markdown", "Dart", "Swift", "JSON", "XML", "PDF", "C++", "SVG", "Properties", "Groovy", "HTML", "comment", "blank", "total"
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\assets\Front\right_arm_front.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 1, 2, 88
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\assets\Front\right_leg_front.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 1, 2, 88
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\assets\Front\upper_torso_front.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 1, 2, 88
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\assets\Tras.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 1, 2, 89
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\ios\Flutter\AppFrameworkInfo.plist", "XML", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\ios\Runner\Info.plist", "XML", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 1, 46
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Burn.dart", "Dart", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 186
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Burn\Anterior.dart", "Dart", 0, 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 274
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Burn\Posterior.dart", "Dart", 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 253
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\START.dart", "Dart", 0, 0, 484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 497
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Score.dart", "Dart", 0, 0, 538, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 27, 575
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\Cincinnati.dart", "Dart", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 69
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\ECG.dart", "Dart", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 156
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\MGAP.dart", "Dart", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 124
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\NEWS.dart", "Dart", 0, 0, 391, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 397
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\PROACS.dart", "Dart", 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 156
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\RACE.dart", "Dart", 0, 0, 278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 288
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\RTS.dart", "Dart", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 112
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\TAP.dart", "Dart", 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 148
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\main.dart", "Dart", 0, 0, 315, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 323
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\pubspec.yaml", "YAML", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 14, 83
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 14, 6, 99
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\web\manifest.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 24, 34, 3409, 12, 47, 226, 1474, 1, 1336, 8, 93, 79, 147, 264, 7154
