"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\START.dart", "Dart", 484, 0, 10, 494
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Score.dart", "Dart", 267, 1, 13, 281
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\Cincinnati.dart", "Dart", 64, 0, 5, 69
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\ECG.dart", "Dart", 139, 1, 5, 145
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\MGAP.dart", "Dart", 107, 1, 5, 113
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\Scores\NEWS.dart", "Dart", 343, 1, 6, 350
"c:\Users\david\Documents\GitHub_Repositories\EPHScores\ephscores\lib\main.dart", "Dart", 235, 1, 7, 243
"Total", "-", 1639, 5, 51, 1695
